,Country,Country Code,GINI,GDP,Happiness Score
0,Luxembourg,LUX,68.3,104278.391,6.871
1,Switzerland,CHE,67.0,83073.28008,7.509
2,Norway,NOR,71.5,70460.56053,7.498
3,Ireland,IRL,67.2,62993.7451,6.907
4,Iceland,ISL,72.8,61987.92636,7.501
5,United States,USA,58.9,58021.4005,7.104
6,Denmark,DNK,71.8,54663.99837,7.526
7,Sweden,SWE,70.4,51965.15715,7.291
8,Netherlands,NLD,71.8,46007.85292,7.339
9,Austria,AUT,69.2,45276.83144,7.119
10,Finland,FIN,72.9,43784.28396,7.413
11,Canada,CAN,67.3,42315.60371,7.404
12,Germany,DEU,68.1,42107.51727,6.994
13,Belgium,BEL,72.4,41984.10303,6.929
14,United Kingdom,GBR,65.2,41048.34966,6.725
15,Israel,ISR,61.0,37282.53056,7.267
16,France,FRA,68.1,37037.37419,6.478
17,Italy,ITA,64.8,30939.71425,5.977
18,Spain,ESP,64.2,26505.34322,6.361
19,Malta,MLT,70.9,25741.44606,6.488
20,Cyprus,CYP,67.1,24605.92083,5.546
21,Slovenia,SVN,75.2,21663.64341,5.768
22,Portugal,PRT,64.8,19978.40121,5.123
23,Czech Republic,CZE,74.6,18575.23203,6.596
24,Estonia,EST,68.8,18437.25282,5.517
25,Greece,GRC,65.0,17885.39281,5.033
26,Uruguay,URY,60.3,16715.63347,6.545
27,Lithuania,LTU,61.6,14998.12506,5.813
28,Panama,PAN,49.6,14343.98139,6.701
29,Latvia,LVA,65.7,14315.79289,5.56
30,Hungary,HUN,69.7,13090.50673,5.145
31,Argentina,ARG,58.0,12790.24247,6.65
32,Poland,POL,68.8,12447.43959,5.835
33,Croatia,HRV,69.1,12361.48383,5.488
34,Costa Rica,CRI,51.3,12011.22275,7.087
35,Turkey,TUR,58.1,10894.60338,5.389
36,Romania,ROU,65.6,9548.587403,5.528
37,Mexico,MEX,53.7,8744.515559,6.778
38,Brazil,BRA,46.7,8710.096774,6.952
39,China,CHN,61.5,8147.937705,5.245
40,Kazakhstan,KAZ,72.8,7714.841844,5.919
41,Bulgaria,BGR,59.4,7548.855007,4.217
42,Dominican Republic,DOM,54.3,7280.88361,5.155
43,Montenegro,MNE,61.5,7033.604899,5.161
44,Peru,PER,56.4,6204.996457,5.743
45,Ecuador,ECU,55.0,6060.092962,5.976
46,Thailand,THA,63.1,5993.305516,6.474
47,Colombia,COL,49.4,5870.777957,6.481
48,Serbia,SRB,61.2,5765.200762,5.177
49,Paraguay,PRY,52.1,5324.609068,5.538
50,Belarus,BLR,74.7,5022.626643,5.802
51,Albania,ALB,66.3,4124.055726,4.655
52,Georgia,GEO,63.4,4062.169888,4.252
53,Sri Lanka,LKA,60.7,3886.291502,4.415
54,El Salvador,SLV,60.0,3805.995686,6.068
55,Kosovo,XKX,73.3,3780.003689,5.401
56,Mongolia,MNG,67.7,3660.151944,4.907
57,Armenia,ARM,67.5,3591.828052,4.36
58,Indonesia,IDN,61.4,3562.816334,5.314
59,Bolivia,BOL,54.7,3076.656439,5.822
60,Moldova,MDA,73.7,2880.439281,5.897
61,Honduras,HND,50.2,2342.584904,4.871
62,Vietnam,VNM,64.7,2192.174482,5.061
63,Ukraine,UKR,75.0,2187.73051,4.324
64,Ghana,GHA,56.5,1913.473536,4.276
65,Bangladesh,BGD,67.6,1401.564635,4.643
66,Rwanda,RWA,56.3,744.7607488,3.515
67,Uganda,UGA,57.2,733.3971317,3.739
68,Liberia,LBR,64.7,714.6233922,3.622
69,Malawi,MWI,55.3,315.7779871,4.156
70,Luxembourg,LUX,67.1,101376.4966,6.946
71,Switzerland,CHE,67.7,84776.14217,7.587
72,Norway,NOR,72.5,74355.51586,7.522
73,Ireland,IRL,68.2,62000.11881,6.94
74,United States,USA,58.8,56863.3715,7.119
75,Denmark,DNK,71.8,53254.85637,7.527
76,Iceland,ISL,73.2,52951.68151,7.561
77,Sweden,SWE,70.8,51545.48361,7.364
78,Netherlands,NLD,71.8,45175.23189,7.378
79,United Kingdom,GBR,66.8,45039.23595,6.867
80,Austria,AUT,69.5,44178.04738,7.2
81,Canada,CAN,66.3,43596.13554,7.427
82,Finland,FIN,72.9,42784.69836,7.406
83,Germany,DEU,68.3,41086.72967,6.75
84,Belgium,BEL,72.3,40991.80814,6.937
85,France,FRA,67.3,36638.18493,6.575
86,Italy,ITA,64.6,30230.2263,5.948
87,Spain,ESP,63.8,25732.01836,6.329
88,Malta,MLT,70.6,24921.60368,6.302
89,Cyprus,CYP,66.0,23408.33668,5.689
90,Slovenia,SVN,74.6,20881.76693,5.848
91,Portugal,PRT,64.5,19242.36647,5.102
92,Greece,GRC,64.0,18050.09761,4.857
93,Czech Republic,CZE,74.1,17829.69832,6.505
94,Estonia,EST,67.3,17522.23019,5.429
95,Uruguay,URY,59.9,15613.74597,6.485
96,Lithuania,LTU,62.6,14258.22933,5.833
97,Latvia,LVA,65.8,13774.60527,5.098
98,Panama,PAN,49.2,13630.32287,6.786
99,Chile,CHL,55.6,13574.16924,6.67
100,Hungary,HUN,69.6,12706.89121,4.8
101,Poland,POL,68.2,12578.49547,5.791
102,Croatia,HRV,68.9,11781.73479,5.759
103,Costa Rica,CRI,51.6,11642.77805,7.226
104,Turkey,TUR,57.1,11006.27952,5.332
105,Kazakhstan,KAZ,73.2,10510.77189,5.855
106,Malaysia,MYS,58.9,9955.242722,5.77
107,Romania,ROU,64.1,8969.148921,5.124
108,Brazil,BRA,48.1,8814.001418,6.983
109,China,CHN,61.4,8066.942635,5.14
110,Bulgaria,BGR,61.4,7055.935673,4.218
111,Dominican Republic,DOM,54.8,6921.520594,4.885
112,Botswana,BWA,46.7,6799.870178,4.332
113,Montenegro,MNE,61.0,6517.163752,5.192
114,Peru,PER,56.6,6229.100674,5.824
115,Colombia,COL,49.0,6175.87603,6.477
116,Ecuador,ECU,54.0,6124.490887,5.975
117,Belarus,BLR,74.4,5949.106307,5.813
118,Thailand,THA,64.0,5840.053067,6.455
119,Serbia,SRB,59.5,5588.980728,5.123
120,Paraguay,PRY,52.4,5413.776021,5.878
121,Georgia,GEO,63.5,4014.185944,4.297
122,Albania,ALB,67.1,3952.801215,4.959
123,Tunisia,TUN,67.2,3861.6924,4.739
124,El Salvador,SLV,59.4,3705.579704,6.13
125,Armenia,ARM,67.6,3607.289299,4.35
126,Kosovo,XKX,73.5,3603.025501,5.589
127,Indonesia,IDN,60.3,3331.695115,5.399
128,Bolivia,BOL,53.3,3035.971655,5.89
129,Philippines,PHL,55.4,3001.043182,5.073
130,Moldova,MDA,73.0,2732.457113,5.889
131,Honduras,HND,50.8,2302.204411,4.788
132,Ukraine,UKR,74.5,2124.662319,4.681
133,Pakistan,PAK,67.4,1356.667831,5.194
134,Zambia,ZMB,42.9,1338.290927,5.129
135,Kenya,KEN,59.2,1336.883265,4.419
136,Myanmar,MMR,61.9,1144.474341,4.307
137,Benin,BEN,52.2,1076.796702,3.34
138,Tajikistan,TJK,66.0,978.4049812,4.786
139,Ethiopia,ETH,65.0,640.5419231,4.512
140,Togo,TGO,56.9,570.9099672,2.839
141,Luxembourg,LUX,65.5,107361.3069,6.86299991607666
142,Switzerland,CHE,67.3,83352.08865,7.49399995803833
143,Norway,NOR,73.0,75496.75406,7.53700017929077
144,Iceland,ISL,73.9,72010.14903,7.50400018692017
145,Ireland,IRL,68.6,70413.12183,6.97700023651123
146,United States,USA,58.8,60109.65573,6.99300003051758
147,Denmark,DNK,71.3,57610.09818,7.52199983596802
148,Sweden,SWE,71.2,53791.50873,7.28399991989136
149,Netherlands,NLD,71.5,48554.99228,7.3769998550415
150,Austria,AUT,70.3,47309.36627,7.00600004196167
151,Finland,FIN,72.6,46297.49635,7.4689998626709
152,Canada,CAN,66.7,45129.35644,7.31599998474121
153,Belgium,BEL,72.6,44089.31009,6.89099979400635
154,United Kingdom,GBR,64.9,40304.72308,6.71400022506714
155,France,FRA,68.4,38685.25849,6.44199991226196
156,Italy,ITA,64.1,32326.67421,5.96400022506714
157,Malta,MLT,70.8,28250.69777,6.52699995040894
158,Spain,ESP,65.3,28100.58624,6.40299987792969
159,Cyprus,CYP,68.6,26444.07438,5.62099981307983
160,Slovenia,SVN,75.8,23454.73952,5.75799989700317
161,Portugal,PRT,66.2,21437.3475,5.19500017166138
162,Czech Republic,CZE,75.1,20636.19995,6.60900020599365
163,Estonia,EST,69.6,20407.92738,5.61100006103516
164,Uruguay,URY,60.5,18690.89384,6.4539999961853
165,Greece,GRC,65.6,18562.22943,5.22700023651123
166,Lithuania,LTU,62.7,16843.69965,5.90199995040894
167,Latvia,LVA,64.4,15643.48563,5.84999990463257
168,Panama,PAN,50.1,15146.40237,6.4520001411438
