,Country,Country Code,GINI,GDP,Happiness Score
30,Luxembourg,LUX,-35.4,116597.2956,6.91
10,Switzerland,CHE,-33.1,86429.50082,7.487
38,Norway,NOR,-27.6,82267.80932,7.594
55,United States,USA,-41.4,63064.41841,6.886
15,Denmark,DNK,-28.2,61598.5367,7.555
50,Sweden,SWE,-30.0,54589.06039,7.314
37,Netherlands,NLD,-28.1,53018.62936,7.441
4,Austria,AUT,-30.8,51453.14702,7.139
20,Finland,FIN,-27.3,50013.2942,7.632
5,Belgium,BEL,-27.2,47554.74631,6.927
1,United Arab Emirates,ARE,-26.0,43839.32449,6.774
21,France,FRA,-32.4,41526.41466,6.489
34,Malta,MLT,-28.7,30672.29224,6.627
18,Spain,ESP,-34.7,30374.52104,6.31
13,Cyprus,CYP,-32.7,29089.47133,5.762
49,Slovenia,SVN,-24.6,26103.16026,5.948
44,Portugal,PRT,-33.5,23551.04829,5.41
14,Czech Republic,CZE,-25.0,23419.73561,6.711
19,Estonia,EST,-30.3,23159.39249,5.739
23,Greece,GRC,-32.9,19765.99645,5.358
29,Lithuania,LTU,-35.7,19166.81227,5.952
54,Uruguay,URY,-39.7,18703.86029,6.379
31,Latvia,LVA,-35.1,17849.5593,5.933
26,Hungary,HUN,-29.6,16411.44111,5.62
40,Panama,PAN,-49.2,15544.73352,6.43
43,Poland,POL,-30.2,15468.40941,6.123
25,Croatia,HRV,-29.7,15014.08502,5.321
12,Costa Rica,CRI,-48.0,12468.57529,7.072
46,Romania,ROU,-35.8,12398.98198,5.945
2,Argentina,ARG,-41.3,11633.49801,6.388
28,Kazakhstan,KAZ,-27.8,9812.626371,5.79
33,Mexico,MEX,-45.4,9686.514244,6.488
52,Turkey,TUR,-41.9,9453.196172,5.483
6,Bulgaria,BGR,-41.3,9427.73043,4.933
9,Brazil,BRA,-53.9,9151.445253,6.419
16,Dominican Republic,DOM,-43.7,8050.644076,5.302
51,Thailand,THA,-36.4,7296.879608,6.072
41,Peru,PER,-42.4,6957.793411,5.663
11,Colombia,COL,-50.4,6729.583332,6.26
7,Belarus,BLR,-25.2,6330.075246,5.483
17,Ecuador,ECU,-45.4,6295.934662,5.973
45,Paraguay,PRY,-46.0,5782.78455,5.681
22,Georgia,GEO,-36.4,4722.787783,4.34
32,Moldova,MDA,-25.7,4230.363037,5.64
3,Armenia,ARM,-34.4,4220.540321,4.321
35,Mongolia,MNG,-32.7,4134.979372,5.125
48,El Salvador,SLV,-38.6,4052.624775,6.167
27,Indonesia,IDN,-37.8,3893.859578,5.093
8,Bolivia,BOL,-42.6,3548.59078,5.752
0,Angola,AGO,-51.3,3289.643995,3.795
42,Philippines,PHL,-42.3,3252.110274,5.524
53,Ukraine,UKR,-26.1,3096.817402,4.103
56,Vietnam,VNM,-35.7,2566.447487,5.103
24,Honduras,HND,-48.9,2510.322943,5.504
36,Nigeria,NGA,-35.1,2027.778549,5.155
39,Pakistan,PAK,-31.6,1482.213067,5.472
47,Sierra Leone,SLE,-35.7,533.9915333,4.571
