Country Name,GDP
Aruba,28396.90842
Africa Eastern and Southern,1503.859334
Afghanistan,578.4663529
Africa Western and Central,1886.248158
Angola,4166.979833
Albania,3952.801215
Andorra,35770.7767
Arab World,6346.032347
United Arab Emirates,38663.4005
Argentina,13789.06042
Armenia,3607.289299
American Samoa,12059.63516
Antigua and Barbuda,14285.32978
Australia,56755.72171
Austria,44178.04738
Azerbaijan,5500.310382
Burundi,305.549646
Belgium,40991.80814
Benin,1076.796702
Burkina Faso,653.3272681
Bangladesh,1248.45331
Bulgaria,7055.935673
Bahrain,22634.08565
"Bahamas, The",31295.56387
Bosnia and Herzegovina,4727.276333
Belarus,5949.106307
Belize,4770.232656
Bermuda,102005.6256
Bolivia,3035.971655
Brazil,8814.001418
Barbados,16524.8995
Brunei Darussalam,31164.03625
Bhutan,2752.630172
Botswana,6799.870178
Central African Republic,377.422919
Canada,43596.13554
Central Europe and the Baltics,12513.20184
Switzerland,84776.14217
Channel Islands,
Chile,13574.16924
China,8066.942635
Cote d'Ivoire,1972.545683
Cameroon,1327.502561
"Congo, Dem. Rep.",497.3170391
"Congo, Rep.",2447.539308
Colombia,6175.87603
Comoros,1242.585682
Cabo Verde,3043.031382
Costa Rica,11642.77805
Caribbean small states,10116.51995
Cuba,7694.014637
Curacao,19951.3279
Cayman Islands,76284.19393
Cyprus,23408.33668
Czech Republic,17829.69832
Germany,41086.72967
Djibouti,2658.964207
Dominica,7597.288894
Denmark,53254.85637
Dominican Republic,6921.520594
Algeria,4177.886892
East Asia & Pacific (excluding high income),6519.038901
Early-demographic dividend,3301.137579
East Asia & Pacific,9595.159207
Europe & Central Asia (excluding high income),7546.232996
Europe & Central Asia,22582.9527
Ecuador,6124.490887
"Egypt, Arab Rep.",3562.932658
Euro area,34367.1012
Eritrea,
Spain,25732.01836
Estonia,17522.23019
Ethiopia,640.5419231
European Union,30466.8095
Fragile and conflict affected situations,2167.407843
Finland,42784.69836
Fiji,5390.714207
France,36638.18493
Faroe Islands,52400.29728
"Micronesia, Fed. Sts.",2906.617012
Gabon,7384.700704
United Kingdom,45039.23595
Georgia,4014.185944
Ghana,1705.575082
Gibraltar,
Guinea,769.2554754
"Gambia, The",660.7235712
Guinea-Bissau,603.3993815
Equatorial Guinea,11283.39805
Greece,18050.09761
Grenada,9096.538652
Greenland,44536.40131
Guatemala,3994.636913
Guam,35829.25036
Guyana,5576.82607
High income,40398.44866
"Hong Kong SAR, China",42431.88828
Honduras,2302.204411
Heavily indebted poor countries (HIPC),927.1244575
Croatia,11781.73479
Haiti,1389.119779
Hungary,12706.89121
IBRD only,5579.990996
IDA & IBRD total,4536.057792
IDA total,1366.150172
IDA blend,1949.18058
Indonesia,3331.695115
IDA only,1063.642258
Isle of Man,85126.97047
India,1605.605445
Not classified,
Ireland,62000.11881
"Iran, Islamic Rep.",4904.327315
Iraq,4688.318017
Iceland,52951.68151
Israel,35813.71341
Italy,30230.2263
Jamaica,4907.927415
Jordan,4164.108769
Japan,34524.46986
Kazakhstan,10510.77189
Kenya,1336.883265
Kyrgyz Republic,1121.082835
Cambodia,1162.904995
Kiribati,1542.616968
St. Kitts and Nevis,18028.97343
"Korea, Rep.",28732.23108
Kuwait,29869.55275
Latin America & Caribbean (excluding high income),8241.120037
Lao PDR,2134.713062
Lebanon,7644.545147
Liberia,710.3840166
Libya,4337.919139
St. Lucia,10093.61802
Latin America & Caribbean,8888.231171
Least developed countries: UN classification,1011.525345
Low income,851.3552364
