Country Name,Country Code,GINI
Albania,ALB,33.2
Argentina,ARG,41.1
Armenia,ARM,33.6
Austria,AUT,29.7
Belgium,BEL,27.4
Bulgaria,BGR,40.4
Belarus,BLR,25.4
Bolivia,BOL,44.6
Brazil,BRA,53.3
Bhutan,BTN,37.4
Canada,CAN,33.3
Switzerland,CHE,32.7
Chile,CHL,44.4
Colombia,COL,49.7
Costa Rica,CRI,48.3
Cyprus,CYP,31.4
Czech Republic,CZE,24.9
Djibouti,DJI,41.6
Denmark,DNK,28.7
Dominican Republic,DOM,42.2
Ecuador,ECU,44.7
"Egypt, Arab Rep.",EGY,31.5
Spain,ESP,34.7
Estonia,EST,30.4
Finland,FIN,27.4
France,FRA,31.6
Gabon,GAB,38
United Kingdom,GBR,35.1
Georgia,GEO,37.9
Greece,GRC,34.4
Honduras,HND,49.4
Croatia,HRV,30.4
Hungary,HUN,30.6
Indonesia,IDN,38.1
Ireland,IRL,31.4
"Iran, Islamic Rep.",IRN,40.8
Iceland,ISL,26.1
Italy,ITA,35.9
Kazakhstan,KAZ,27.5
Kyrgyz Republic,KGZ,27.3
Lesotho,LSO,44.9
Lithuania,LTU,37.3
Luxembourg,LUX,34.5
Latvia,LVA,35.6
Moldova,MDA,25.9
North Macedonia,MKD,34.2
Malta,MLT,29.2
Myanmar,MMR,30.7
Mauritius,MUS,36.8
Netherlands,NLD,28.5
Norway,NOR,27
Panama,PAN,49.9
Peru,PER,43.3
Poland,POL,29.7
Portugal,PRT,33.8
Paraguay,PRY,48.5
Romania,ROU,36
Russian Federation,RUS,37.2
El Salvador,SLV,38
Somalia,SOM,36.8
Serbia,SRB,36.2
Sao Tome and Principe,STP,56.3
Slovenia,SVN,24.2
Sweden,SWE,28.8
Thailand,THA,36.5
Turkey,TUR,41.4
Tanzania,TZA,40.5
Ukraine,UKR,26
Uruguay,URY,39.5
United States,USA,41.2
Kosovo,XKX,29
Zimbabwe,ZWE,44.3
